Renewable,Type of Source,Year,اشتراک,امور,اشتراک برق,Basin,Shahrestan,Section,id,MA_XUTM,MA_YUTM,عمق چاه,دبي,ساعت کارکرد,اضافه کسربرداشت,تخليه مترمکعب,نوع چاه,Type of use,نيرو محرکه,وضعيت چاه,Value,کنتور هوشمند
تجدید پذیر,زیرزمینی,1402-03,518187,آب مشهد,0,مشهد - چناران,مشهد,4,1,723275,4055746,75,3,4256,0,45965,عميق,كشاورزي,ديزلي,غيرمجاز,0.045965,ندارد
تجدید پذیر,زیرزمینی,1402-03,518189,آب مشهد,0,مشهد - چناران,مشهد,4,2,746705,4022245,20,2.5,4256,0,38304,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.038304,ندارد
تجدید پذیر,زیرزمینی,1402-03,518190,آب مشهد,451850,مشهد - چناران,مشهد,4,3,714283,4039424,73,0.9,3500,0,11340,عميق,كشاورزي,برقي,غيرمجاز,0.01134,ندارد
تجدید پذیر,زیرزمینی,1402-03,518217,آب مشهد,0,مشهد - چناران,مشهد,4,4,735354,4008004,50,0.5,4256,0,7661,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.007661,ندارد
تجدید پذیر,زیرزمینی,1402-03,518246,آب مشهد,0,مشهد - چناران,مشهد,4,5,744958,4034120,85,4.5,3870,0,62694,عميق,دام و طيور,ديزلي,غيرمجاز,0.062694,ندارد
تجدید پذیر,زیرزمینی,1402-03,518273,آب مشهد,0,مشهد - چناران,مشهد,4,6,722908,4048179,30,0.6,4256,0,9193,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.009193,ندارد
تجدید پذیر,زیرزمینی,1402-03,518289,آب مشهد,0,مشهد - چناران,مشهد,4,7,722542,4049068,60,4,4256,0,61286,عميق,كشاورزي,ديزلي,غيرمجاز,0.061286,ندارد
تجدید پذیر,زیرزمینی,1402-03,518291,آب مشهد,0,مشهد - چناران,مشهد,4,8,751647,4024782,80,4.5,4256,0,68947,عميق,كشاورزي,ديزلي,غيرمجاز,0.068947,ندارد
تجدید پذیر,زیرزمینی,1402-03,518323,آب مشهد,0,مشهد - چناران,مشهد,4,9,758258,4023833,8,1,4256,0,15322,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,518345,آب مشهد,0,مشهد - چناران,مشهد,4,10,726025,4052581,140,17,4256,0,260467,عميق,كشاورزي,ديزلي,غيرمجاز,0.260467,ندارد
تجدید پذیر,زیرزمینی,1402-03,518532,آب مشهد,0,مشهد - چناران,مشهد,4,11,715444,4044812,75,4,4256,0,61286,عميق,كشاورزي,ديزلي,غيرمجاز,0.061286,ندارد
تجدید پذیر,زیرزمینی,1402-03,518537,آب مشهد,0,مشهد - چناران,مشهد,4,12,741201,4028242,50,2,4256,0,30643,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.030643,ندارد
تجدید پذیر,زیرزمینی,1402-03,518546,آب مشهد,0,مشهد - چناران,مشهد,4,13,743806,4036434,15,1.5,4256,0,22982,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.022982,ندارد
تجدید پذیر,زیرزمینی,1402-03,518561,آب مشهد,0,مشهد - چناران,مشهد,4,14,737887,4050666,6,9,4256,0,137894,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.137894,ندارد
تجدید پذیر,زیرزمینی,1402-03,518644,آب مشهد,960584,مشهد - چناران,مشهد,4,15,739290,4024255,200,17,4256,0,260467,عميق,شرب,برقي,غيرمجاز,0.260467,ندارد
تجدید پذیر,زیرزمینی,1402-03,518713,آب مشهد,684537,مشهد - چناران,مشهد,4,16,751456,4024719,75,1.5,2500,0,13500,عميق,صنعتي,برقي,غيرمجاز,0.0135,ندارد
تجدید پذیر,زیرزمینی,1402-03,518780,آب مشهد,0,مشهد - چناران,مشهد,4,17,714572,4056804,90,0.11,4256,0,1685,عميق,كشاورزي,ديزلي,غيرمجاز,0.001685,ندارد
تجدید پذیر,زیرزمینی,1402-03,518880,آب مشهد,0,مشهد - چناران,مشهد,4,18,732633,4040727,58,8.5,4256,0,130234,عميق,كشاورزي,ديزلي,غيرمجاز,0.130234,ندارد
تجدید پذیر,زیرزمینی,1402-03,518984,آب مشهد,0,مشهد - چناران,مشهد,4,19,740567,4055444,30,2,2520,0,18144,نيمه عميق,دام و طيور,ديزلي,غيرمجاز,0.018144,ندارد
تجدید پذیر,زیرزمینی,1402-03,518989,آب مشهد,0,مشهد - چناران,مشهد,4,20,741833,4022006,15,0.2,4256,0,3064,نيمه عميق,دام و طيور,ديزلي,غيرمجاز,0.003064,ندارد
تجدید پذیر,زیرزمینی,1402-03,519014,آب مشهد,0,مشهد - چناران,مشهد,4,21,746385,4019798,30,1,3500,0,12600,نيمه عميق,شرب,ديزلي,غيرمجاز,0.0126,ندارد
تجدید پذیر,زیرزمینی,1402-03,519074,آب مشهد,0,مشهد - چناران,مشهد,4,22,712995,4064264,15,0.5,4256,0,7661,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.007661,ندارد
